uuid,itemId,name,typeLine,frameType,calculated,inventoryId,elder,shaper,blighted,icon,ilvl,tier,corrupted,links,sockets,quality,level,stackSize,totalStacksize,variant,tab,total,max,mean,mode,min,median,detailsUrl,baseType,count,sparkLine
"d33f0b55-19ad-4b3f-9e1d-77954a4ffc28","1605e7bc8747b4b43be2b713a3676274fb2cbf5af3f4d8d1a0afaaf43bed2d45","The Cacophony","The Cacophony",6,2,"Stash1",FALSE,FALSE,FALSE,"https://web.poecdn.com/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvRGl2aW5hdGlvbi9JbnZlbnRvcnlJY29uIiwidyI6MSwiaCI6MSwic2NhbGUiOjF9XQ/f34bf8cbb5/InventoryIcon.png",0,0,FALSE,0,0,0,0,19,8,"",[object Object],38,0,0,0,0,0,"https://poe.ninja/challenge/divination-cards/the-cacophony",undefined,99,[object Object]
"9315e695-e78e-4a09-bd3a-b97da85ce0b6","02484eb4d5d982afe87f7956b2fa2170331552555cbdb75cf508128dbf2d3d1b","The Road to Power","The Road to Power",6,2.94,"Stash1",FALSE,FALSE,FALSE,"https://web.poecdn.com/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvRGl2aW5hdGlvbi9JbnZlbnRvcnlJY29uIiwidyI6MSwiaCI6MSwic2NhbGUiOjF9XQ/f34bf8cbb5/InventoryIcon.png",0,0,FALSE,0,0,0,0,16,7,"",[object Object],47.04,0,0,0,0,0,"https://poe.ninja/challenge/divination-cards/the-road-to-power",undefined,99,[object Object]
"af697b12-2668-48f8-9ad0-c171b6af00c3","93cc62d0ceb06738207240ad0ba69dac6b7b5a5e7759fa3e8a53ab2e2887f307","Doedre's Madness","Doedre's Madness",6,1,"Stash1",FALSE,FALSE,FALSE,"https://web.poecdn.com/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvRGl2aW5hdGlvbi9JbnZlbnRvcnlJY29uIiwidyI6MSwiaCI6MSwic2NhbGUiOjF9XQ/f34bf8cbb5/InventoryIcon.png",0,0,FALSE,0,0,0,0,294,9,"",[object Object],294,0,0,0,0,0,"https://poe.ninja/challenge/divination-cards/doedres-madness",undefined,99,[object Object]
"408da240-c047-4384-aa06-397a2142e9ec","ebee301535bcfdcc7896d0efbe43f364de69921069458dfbf70ef2fd74a08604","The Nurse","The Nurse",6,473.2,"Stash1",FALSE,FALSE,FALSE,"https://web.poecdn.com/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvRGl2aW5hdGlvbi9JbnZlbnRvcnlJY29uIiwidyI6MSwiaCI6MSwic2NhbGUiOjF9XQ/f34bf8cbb5/InventoryIcon.png",0,0,FALSE,0,0,0,0,12,8,"",[object Object],5678.4,0,0,0,0,0,"https://poe.ninja/challenge/divination-cards/the-nurse",undefined,99,[object Object]
"a19d4fa9-d2de-49b2-8937-cccc10a8e915","054ad1ca0fa33aeb9e5cf609ad4faea2eeb0b9c4a4ed9d1eec055d7cd07975ca","Azyran's Reward","Azyran's Reward",6,5,"Stash1",FALSE,FALSE,FALSE,"https://web.poecdn.com/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvRGl2aW5hdGlvbi9JbnZlbnRvcnlJY29uIiwidyI6MSwiaCI6MSwic2NhbGUiOjF9XQ/f34bf8cbb5/InventoryIcon.png",0,0,FALSE,0,0,0,0,31,9,"",[object Object],155,0,0,0,0,0,"https://poe.ninja/challenge/divination-cards/azyrans-reward",undefined,99,[object Object]
"08503484-eb98-4d0a-84d9-3c983d99005b","6f47a8afbcf657f998657d817334b1a88ed6b140d91922a0b61adbf9d0dabee7","The Dark Mage","The Dark Mage",6,1,"Stash1",FALSE,FALSE,FALSE,"https://web.poecdn.com/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvRGl2aW5hdGlvbi9JbnZlbnRvcnlJY29uIiwidyI6MSwiaCI6MSwic2NhbGUiOjF9XQ/f34bf8cbb5/InventoryIcon.png",0,0,FALSE,0,0,0,0,50,6,"",[object Object],50,0,0,0,0,0,"https://poe.ninja/challenge/divination-cards/the-dark-mage",undefined,99,[object Object]
"4d1e5e7b-0680-463b-840b-5d8f08823b11","8d8f40e788b69643961c5ad4a53011c161c9771bcd9c8ddb94a79d51f2b7fa40","The Scavenger","The Scavenger",6,1,"Stash1",FALSE,FALSE,FALSE,"https://web.poecdn.com/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvRGl2aW5hdGlvbi9JbnZlbnRvcnlJY29uIiwidyI6MSwiaCI6MSwic2NhbGUiOjF9XQ/f34bf8cbb5/InventoryIcon.png",0,0,FALSE,0,0,0,0,95,8,"",[object Object],95,0,0,0,0,0,"https://poe.ninja/challenge/divination-cards/the-scavenger",undefined,99,[object Object]
"fd69f9c1-5a0f-46be-b603-d4613f180cda","c99ee69fee100f53dfdb2257c7f28fb32c5437f134e29ce99a3565a6ee904c64","The Astromancer","The Astromancer",6,9.55,"Stash1",FALSE,FALSE,FALSE,"https://web.poecdn.com/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvRGl2aW5hdGlvbi9JbnZlbnRvcnlJY29uIiwidyI6MSwiaCI6MSwic2NhbGUiOjF9XQ/f34bf8cbb5/InventoryIcon.png",0,0,FALSE,0,0,0,0,1,7,"",[object Object],9.55,0,0,0,0,0,"https://poe.ninja/challenge/divination-cards/the-astromancer",undefined,45,[object Object]
"411820ea-d170-4475-8537-78fc734ab629","b3ec87638abf9c6a2dc084a985881e2d57b3306b73953e604e65b2127551a87d","The Rite of Elements","The Rite of Elements",6,1,"Stash1",FALSE,FALSE,FALSE,"https://web.poecdn.com/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvRGl2aW5hdGlvbi9JbnZlbnRvcnlJY29uIiwidyI6MSwiaCI6MSwic2NhbGUiOjF9XQ/f34bf8cbb5/InventoryIcon.png",0,0,FALSE,0,0,0,0,67,5,"",[object Object],67,0,0,0,0,0,"https://poe.ninja/challenge/divination-cards/the-rite-of-elements",undefined,99,[object Object]
"dd0c4e3c-0277-4de1-bd5c-e823ccae518a","335075f022f08d609fcd3fb8be1c36d56405fc98039792153270ec7cb336940b","Lost Worlds","Lost Worlds",6,1,"Stash1",FALSE,FALSE,FALSE,"https://web.poecdn.com/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvRGl2aW5hdGlvbi9JbnZlbnRvcnlJY29uIiwidyI6MSwiaCI6MSwic2NhbGUiOjF9XQ/f34bf8cbb5/InventoryIcon.png",0,0,FALSE,0,0,0,0,243,8,"",[object Object],243,0,0,0,0,0,"https://poe.ninja/challenge/divination-cards/lost-worlds",undefined,99,[object Object]
"1a96769f-be76-4d0f-bfeb-47d29b0bd392","1f77ea0bbdf98248c9f6cd6352d2d8d8f0c37879c7a9ae42cdfa597c269f431d","The Polymath","The Polymath",6,5.29,"Stash1",FALSE,FALSE,FALSE,"https://web.poecdn.com/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvRGl2aW5hdGlvbi9JbnZlbnRvcnlJY29uIiwidyI6MSwiaCI6MSwic2NhbGUiOjF9XQ/f34bf8cbb5/InventoryIcon.png",0,0,FALSE,0,0,0,0,16,3,"",[object Object],84.64,0,0,0,0,0,"https://poe.ninja/challenge/divination-cards/the-polymath",undefined,99,[object Object]
